000000..00FFFF; 统一码 (基本多文种平面)
010000..01FFFF; 统一码 (多文种补充平面)
020000..02FFFF; 统一码 (表意文字补充平面)
030000..03FFFF; 统一码 (表意文字第三平面)
040000..04FFFF; 统一码 (平面 4)
050000..05FFFF; 统一码 (平面 5)
060000..06FFFF; 统一码 (平面 6)
070000..07FFFF; 统一码 (平面 7)
080000..08FFFF; 统一码 (平面 8)
090000..09FFFF; 统一码 (平面 9)
0A0000..0AFFFF; 统一码 (平面 10), GB18030 人口信息扩充
0B0000..0BFFFF; 统一码 (平面 11)
0C0000..0CFFFF; 统一码 (平面 12)
0D0000..0DFFFF; 统一码 (平面 13)
0E0000..0EFFFF; 统一码 (特殊用途补充平面)
000000..10FFFF; 统一码 (全部)

0000..007F; 基本拉丁
0080..00FF; 拉丁-1 增补
0100..017F; 拉丁扩充-A
0180..024F; 拉丁扩充-B
0250..02AF; 国际音标扩充
02B0..02FF; 有距修饰字母
0300..036F; 结合变音记号
0370..03FF; 希腊与科普特
0400..04FF; 西里尔
0500..052F; 西里尔增补
0530..058F; 亚美尼亚
0590..05FF; 希伯来
0600..06FF; 阿拉伯
0700..074F; 叙利亚
0750..077F; 阿拉伯增补
0780..07BF; 塔纳
07C0..07FF; 恩科
0800..083F; 撒马利亚
0840..085F; 曼德恩
0860..086F; 叙利亚增补
0870..089F; 阿拉伯扩充-B
08A0..08FF; 阿拉伯扩充-A
0900..097F; 天城体
0980..09FF; 孟加拉
0A00..0A7F; 果鲁穆奇
0A80..0AFF; 古吉拉特
0B00..0B7F; 奥里亚
0B80..0BFF; 泰米尔
0C00..0C7F; 泰卢固
0C80..0CFF; 卡纳达
0D00..0D7F; 马拉雅拉姆
0D80..0DFF; 僧伽罗
0E00..0E7F; 泰文
0E80..0EFF; 老挝
0F00..0FFF; 藏文
1000..109F; 缅甸
10A0..10FF; 格鲁吉亚
1100..11FF; 谚文字母
1200..137F; 埃塞俄比亚
1380..139F; 埃塞俄比亚增补
13A0..13FF; 切罗基
1400..167F; 统一加拿大原住民音节文字
1680..169F; 欧甘
16A0..16FF; 卢恩
1700..171F; 他加禄
1720..173F; 哈努努奥
1740..175F; 布希德
1760..177F; 蒂亚格班瓦
1780..17FF; 高棉
1800..18AF; 蒙文
18B0..18FF; 统一加拿大原住民音节文字扩充
1900..194F; 林布
1950..197F; 傣㐻
1980..19DF; 新傣仂
19E0..19FF; 高棉符号
1A00..1A1F; 布吉
1A20..1AAF; 傣昙
1AB0..1AFF; 结合变音记号扩充
1B00..1B7F; 巴厘
1B80..1BBF; 巽他
1BC0..1BFF; 巴塔克
1C00..1C4F; 雷布查
1C50..1C7F; 奥尔奇基
1C80..1C8F; 西里尔扩充-C
1C90..1CBF; 格鲁吉亚扩充
1CC0..1CCF; 巽他增补
1CD0..1CFF; 吠陀扩充
1D00..1D7F; 音标扩充
1D80..1DBF; 音标扩充增补
1DC0..1DFF; 结合变音记号增补
1E00..1EFF; 拉丁扩充附加
1F00..1FFF; 希腊扩充
2000..206F; 通用标点
2070..209F; 上标与下标
20A0..20CF; 货币符号
20D0..20FF; 符号用结合变音记号
2100..214F; 类字符号
